Cause,Age_Group,Male_Deaths,Female_Deaths,Total_Deaths,Male_Rate,Female_Rate,Total_Rate
"Dementia, including Alzheimer's disease (F01, F03, G30)",All persons,6602.0,10947.0,17549.0,48.9,79.9,64.5
Ischaemic heart diseases (I20-I25),All persons,10153.0,6122.0,16275.0,75.2,44.7,59.8
Chronic lower respiratory diseases (J40-J47),All persons,4572.0,4657.0,9229.0,33.9,34.0,33.9
Cerebrovascular diseases (I60-I69),All persons,4079.0,5068.0,9147.0,30.2,37.0,33.6
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",All persons,5244.0,3875.0,9119.0,38.8,28.3,33.5
Diabetes (E10-E14),All persons,3304.0,2661.0,5965.0,24.5,19.4,21.9
"Malignant neoplasm of colon, sigmoid, rectum and anus (C18-C21, C26.0)",All persons,2898.0,2489.0,5387.0,21.5,18.2,19.8
"Accidental falls including fractures (W00-W19, X59.0)",All persons,2613.0,2566.0,5179.0,19.3,18.7,19.0
"Malignant neoplasms of lymphoid, haematopoietic and related tissue (C81-C96)",All persons,3043.0,2120.0,5163.0,22.5,15.5,19.0
Diseases of the urinary system (N00-N39),All persons,2216.0,2594.0,4810.0,16.4,18.9,17.7
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,309.0,249.0,558.0,2.1,1.7,1.9
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,113.0,97.0,210.0,0.7,0.7,0.7
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,60.0,33.0,93.0,0.4,0.2,0.3
Influenza and pneumonia (J09-J18),Under 1 year,3.0,5.0,8.0,,,
Accidental threats to breathing (W75-W84),Under 1 year,4.0,3.0,7.0,,,
"Assault [homicide] (X85-Y09, Y87.1)",Under 1 year,3.0,4.0,7.0,,,
Accidental drowning and submersion (W65-W74),Under 1 year,5.0,0.0,5.0,,,
"Land transport accidents (V01-V89, Y85)",1–14 years,32.0,16.0,48.0,1.4,0.7,1.1
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,18.0,20.0,38.0,0.8,0.9,0.8
Malignant neoplasm of brain (C71),1–14 years,19.0,17.0,36.0,0.8,0.8,0.8
Influenza and pneumonia (J09-J18),1–14 years,10.0,11.0,21.0,0.4,0.5,0.5
Accidental drowning and submersion (W65-W74),1–14 years,13.0,7.0,20.0,0.6,0.3,0.4
"Malignant neoplasms of lymphoid, haematopoietic and related tissue (C81-C96)",1–14 years,10.0,7.0,17.0,0.4,0.3,0.4
"Intentional self-harm [suicide] (X60-X84, Y87.0)",1–14 years,5.0,12.0,17.0,0.2,0.5,0.4
"Assault [homicide] (X85-Y09, Y87.1)",1–14 years,9.0,3.0,12.0,0.4,,0.3
"Epilepsy and status epilepticus (G40, G41)",1–14 years,4.0,3.0,7.0,,,0.2
Chronic lower respiratory diseases (J40-J47),1–14 years,5.0,2.0,7.0,0.2,,0.2
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,235.0,82.0,317.0,13.2,4.9,9.2
"Land transport accidents (V01-V89, Y85)",15–24 years,200.0,59.0,259.0,11.2,3.5,7.5
Accidental poisoning (X40-X49),15–24 years,53.0,23.0,76.0,3.0,1.4,2.2
"Assault [homicide] (X85-Y09, Y87.1)",15–24 years,24.0,8.0,32.0,1.3,0.5,0.9
Event of undetermined intent (Y10-Y34),15–24 years,26.0,4.0,30.0,1.5,,0.9
Accidental drowning and submersion (W65-W74),15–24 years,21.0,6.0,27.0,1.2,0.4,0.8
"Epilepsy and status epilepticus (G40, G41)",15–24 years,13.0,13.0,26.0,0.7,0.8,0.8
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",15–24 years,12.0,14.0,26.0,0.7,0.8,0.8
"Malignant neoplasms of lymphoid, haematopoietic and related tissue (C81-C96)",15–24 years,13.0,9.0,22.0,0.7,0.5,0.6
Malignant neoplasm of brain (C71),15–24 years,11.0,6.0,17.0,0.6,0.4,0.5
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,429.0,173.0,602.0,21.2,8.6,14.9
Accidental poisoning (X40-X49),25–34 years,206.0,52.0,258.0,10.2,2.6,6.4
"Land transport accidents (V01-V89, Y85)",25–34 years,188.0,41.0,229.0,9.3,2.0,5.7
Event of undetermined intent (Y10-Y34),25–34 years,36.0,9.0,45.0,1.8,0.4,1.1
Ischaemic heart diseases (I20-I25),25–34 years,32.0,12.0,44.0,1.6,0.6,1.1
"Assault [homicide] (X85-Y09, Y87.1)",25–34 years,29.0,15.0,44.0,1.4,0.7,1.1
Diabetes (E10-E14),25–34 years,20.0,15.0,35.0,1.0,0.7,0.9
Cirrhosis and other diseases of liver (K70-K76),25–34 years,22.0,9.0,31.0,1.1,0.4,0.8
Accidental drowning and submersion (W65-W74),25–34 years,25.0,5.0,30.0,1.2,0.2,0.7
Malignant neoplasm of brain (C71),25–34 years,19.0,10.0,29.0,0.9,0.5,0.7
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,519.0,125.0,644.0,27.3,6.5,16.8
Accidental poisoning (X40-X49),35–44 years,284.0,100.0,384.0,14.9,5.2,10.0
Ischaemic heart diseases (I20-I25),35–44 years,142.0,44.0,186.0,7.5,2.3,4.8
Cirrhosis and other diseases of liver (K70-K76),35–44 years,104.0,63.0,167.0,5.5,3.3,4.4
"Land transport accidents (V01-V89, Y85)",35–44 years,127.0,30.0,157.0,6.7,1.6,4.1
"Malignant neoplasm of colon, sigmoid, rectum and anus (C18-C21, C26.0)",35–44 years,73.0,66.0,139.0,3.8,3.4,3.6
Malignant neoplasms of breast (C50),35–44 years,0.0,106.0,106.0,,5.5,2.8
Diabetes (E10-E14),35–44 years,66.0,40.0,106.0,3.5,2.1,2.8
Cerebrovascular diseases (I60-I69),35–44 years,51.0,29.0,80.0,2.7,1.5,2.1
Malignant neoplasm of brain (C71),35–44 years,54.0,25.0,79.0,2.8,1.3,2.1
Ischaemic heart diseases (I20-I25),45–54 years,564.0,114.0,678.0,34.5,6.8,20.4
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,485.0,138.0,623.0,29.7,8.2,18.8
Accidental poisoning (X40-X49),45–54 years,292.0,141.0,433.0,17.9,8.4,13.0
Cirrhosis and other diseases of liver (K70-K76),45–54 years,273.0,156.0,429.0,16.7,9.3,12.9
"Malignant neoplasm of colon, sigmoid, rectum and anus (C18-C21, C26.0)",45–54 years,173.0,155.0,328.0,10.6,9.2,9.9
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",45–54 years,193.0,132.0,325.0,11.8,7.8,9.8
Malignant neoplasms of breast (C50),45–54 years,5.0,286.0,291.0,0.3,17.0,8.8
Cerebrovascular diseases (I60-I69),45–54 years,129.0,106.0,235.0,7.9,6.3,7.1
Diabetes (E10-E14),45–54 years,129.0,83.0,212.0,7.9,4.9,6.4
Malignant neoplasm of brain (C71),45–54 years,116.0,67.0,183.0,7.1,4.0,5.5
Ischaemic heart diseases (I20-I25),55–64 years,1276.0,321.0,1597.0,85.1,20.5,52.1
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,780.0,526.0,1306.0,52.0,33.5,42.6
Chronic lower respiratory diseases (J40-J47),55–64 years,383.0,338.0,721.0,25.6,21.5,23.5
"Malignant neoplasm of colon, sigmoid, rectum and anus (C18-C21, C26.0)",55–64 years,413.0,255.0,668.0,27.6,16.3,21.8
Cirrhosis and other diseases of liver (K70-K76),55–64 years,406.0,191.0,597.0,27.1,12.2,19.5
Malignant neoplasm of pancreas (C25),55–64 years,322.0,234.0,556.0,21.5,14.9,18.1
Malignant neoplasms of breast (C50),55–64 years,1.0,529.0,530.0,,33.7,17.3
"Intentional self-harm [suicide] (X60-X84, Y87.0)",55–64 years,412.0,117.0,529.0,27.5,7.5,17.2
Diabetes (E10-E14),55–64 years,331.0,162.0,493.0,22.1,10.3,16.1
Cerebrovascular diseases (I60-I69),55–64 years,271.0,220.0,491.0,18.1,14.0,16.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,1577.0,1219.0,2796.0,130.0,92.3,110.4
Ischaemic heart diseases (I20-I25),65–74 years,1941.0,577.0,2518.0,160.0,43.7,99.4
Chronic lower respiratory diseases (J40-J47),65–74 years,1058.0,944.0,2002.0,87.2,71.5,79.0
"Malignant neoplasm of colon, sigmoid, rectum and anus (C18-C21, C26.0)",65–74 years,663.0,435.0,1098.0,54.7,32.9,43.3
Cerebrovascular diseases (I60-I69),65–74 years,602.0,476.0,1078.0,49.6,36.0,42.5
"Malignant neoplasms of lymphoid, haematopoietic and related tissue (C81-C96)",65–74 years,669.0,399.0,1068.0,55.2,30.2,42.2
Malignant neoplasm of pancreas (C25),65–74 years,592.0,456.0,1048.0,48.8,34.5,41.4
Diabetes (E10-E14),65–74 years,644.0,343.0,987.0,53.1,26.0,39.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",65–74 years,415.0,419.0,834.0,34.2,31.7,32.9
Malignant neoplasm of liver and intrahepatic bile ducts (C22),65–74 years,517.0,248.0,765.0,42.6,18.8,30.2
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2056.0,2491.0,4547.0,275.0,297.4,286.8
Ischaemic heart diseases (I20-I25),75–84 years,2731.0,1301.0,4032.0,365.3,155.3,254.4
Chronic lower respiratory diseases (J40-J47),75–84 years,1688.0,1540.0,3228.0,225.8,183.9,203.6
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",75–84 years,1812.0,1338.0,3150.0,242.4,159.8,198.7
Cerebrovascular diseases (I60-I69),75–84 years,1320.0,1285.0,2605.0,176.6,153.4,164.3
"Malignant neoplasms of lymphoid, haematopoietic and related tissue (C81-C96)",75–84 years,1197.0,770.0,1967.0,160.1,91.9,124.1
Diabetes (E10-E14),75–84 years,1063.0,748.0,1811.0,142.2,89.3,114.2
"Malignant neoplasm of colon, sigmoid, rectum and anus (C18-C21, C26.0)",75–84 years,840.0,658.0,1498.0,112.4,78.6,94.5
"Accidental falls including fractures (W00-W19, X59.0)",75–84 years,773.0,575.0,1348.0,103.4,68.7,85.0
Malignant neoplasm of prostate (C61),75–84 years,1339.0,0.0,1339.0,179.1,,84.5
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,3363.0,5706.0,9069.0,1554.4,1844.8,1725.3
Ischaemic heart diseases (I20-I25),85–94 years,2798.0,2600.0,5398.0,1293.3,840.6,1026.9
Cerebrovascular diseases (I60-I69),85–94 years,1394.0,2189.0,3583.0,644.3,707.7,681.6
Chronic lower respiratory diseases (J40-J47),85–94 years,1130.0,1377.0,2507.0,522.3,445.2,476.9
"Accidental falls including fractures (W00-W19, X59.0)",85–94 years,1136.0,1224.0,2360.0,525.1,395.7,449.0
Diseases of the urinary system (N00-N39),85–94 years,932.0,1167.0,2099.0,430.8,377.3,399.3
Heart failure and complications and ill-defined heart disease (I50-I51),85–94 years,870.0,1131.0,2001.0,402.1,365.7,380.7
Diabetes (E10-E14),85–94 years,907.0,994.0,1901.0,419.2,321.4,361.6
"COVID-19 (U07.1-U07.2, U10.9)",85–94 years,935.0,862.0,1797.0,432.2,278.7,341.9
Influenza and pneumonia (J09-J18),85–94 years,739.0,891.0,1630.0,341.6,288.1,310.1
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,726.0,2278.0,3004.0,4178.7,5918.9,5377.6
Ischaemic heart diseases (I20-I25),95 years and over,666.0,1151.0,1817.0,3833.3,2990.6,3252.7
Cerebrovascular diseases (I60-I69),95 years and over,296.0,749.0,1045.0,1703.7,1946.1,1870.7
"Accidental falls including fractures (W00-W19, X59.0)",95 years and over,295.0,556.0,851.0,1697.9,1444.6,1523.4
Heart failure and complications and ill-defined heart disease (I50-I51),95 years and over,237.0,575.0,812.0,1364.1,1494.0,1453.6
