Cause,Deaths,Year,Sex
Intestinal infectious diseases  (A00-A09),236.0,2015,Male
Cholera (A00),0.0,2015,Male
Typhoid and paratyphoid fevers (A01),0.0,2015,Male
Other salmonella infections (A02),13.0,2015,Male
Shigellosis (A03),0.0,2015,Male
Other bacterial intestinal infections (A04),88.0,2015,Male
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",0.0,2015,Male
Amoebiasis (A06),2.0,2015,Male
Other protozoal intestinal diseases (A07),0.0,2015,Male
Viral and other specified intestinal infections (A08),7.0,2015,Male
Other gastroenteritis and colitis of infectious and unspecified origin (A09),132.0,2015,Male
Tuberculosis  (A15-A19),89.0,2015,Male
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",0.0,2015,Male
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",70.0,2015,Male
Tuberculosis of nervous system (A17),2.0,2015,Male
Tuberculosis of other organs (A18),11.0,2015,Male
Miliary tuberculosis (A19),9.0,2015,Male
Certain zoonotic bacterial diseases  (A20-A28),5.0,2015,Male
Plague (A20),0.0,2015,Male
Tularaemia (A21),0.0,2015,Male
Anthrax (A22),0.0,2015,Male
Brucellosis (A23),0.0,2015,Male
Glanders and melioidosis (A24),4.0,2015,Male
Rat-bite fevers (A25),0.0,2015,Male
Erysipeloid (A26),0.0,2015,Male
Leptospirosis (A27),1.0,2015,Male
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",0.0,2015,Male
Other bacterial diseases  (A30-A49),5143.0,2015,Male
Leprosy [Hansen's disease] (A30),2.0,2015,Male
Infection due to other mycobacteria (A31),17.0,2015,Male
Listeriosis (A32),3.0,2015,Male
Tetanus neonatorum (A33),0.0,2015,Male
Obstetrical tetanus (A34),0.0,2015,Male
Other tetanus (A35),0.0,2015,Male
Diphtheria (A36),0.0,2015,Male
Whooping cough (A37),2.0,2015,Male
Scarlet fever (A38),0.0,2015,Male
Meningococcal infection (A39),3.0,2015,Male
Streptococcal sepsis (A40),76.0,2015,Male
Other sepsis (A41),4768.0,2015,Male
Actinomycosis (A42),1.0,2015,Male
Nocardiosis (A43),4.0,2015,Male
Bartonellosis (A44),0.0,2015,Male
Erysipelas (A46),1.0,2015,Male
"Other bacterial diseases, not elsewhere classified (A48)",10.0,2015,Male
Bacterial infection of unspecified site (A49),327.0,2015,Male
Infections with a predominantly sexual mode of transmission  (A50-A64),5.0,2015,Male
Congenital syphilis (A50),0.0,2015,Male
Early syphilis (A51),0.0,2015,Male
Late syphilis (A52),2.0,2015,Male
Other and unspecified syphilis (A53),2.0,2015,Male
Gonococcal infection (A54),0.0,2015,Male
Chlamydial lymphogranuloma (venereum) (A55),0.0,2015,Male
Other sexually transmitted chlamydial diseases (A56),1.0,2015,Male
Chancroid (A57),0.0,2015,Male
Granuloma inguinale (A58),0.0,2015,Male
Trichomoniasis (A59),0.0,2015,Male
Anogenital herpesviral [herpes simplex] infection (A60),0.0,2015,Male
"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",0.0,2015,Male
Unspecified sexually transmitted disease (A64),0.0,2015,Male
Other spirochaetal diseases  (A65-A69),1.0,2015,Male
Nonvenereal syphilis (A65),0.0,2015,Male
Yaws (A66),0.0,2015,Male
Pinta [carate] (A67),0.0,2015,Male
Relapsing fevers (A68),0.0,2015,Male
Other spirochaetal infections (A69),1.0,2015,Male
Other diseases caused by chlamydiae  (A70-A74),3.0,2015,Male
Chlamydia psittaci infection (A70),1.0,2015,Male
Trachoma (A71),0.0,2015,Male
Other diseases caused by chlamydiae (A74),2.0,2015,Male
Rickettsioses  (A75-A79),4.0,2015,Male
Typhus fever (A75),0.0,2015,Male
Spotted fever [tick-borne rickettsioses] (A77),0.0,2015,Male
Q fever (A78),2.0,2015,Male
Other rickettsioses (A79),2.0,2015,Male
Viral infections of the central nervous system  (A80-A89),40.0,2015,Male
Acute poliomyelitis (A80),0.0,2015,Male
Slow virus infections of central nervous system (A81),31.0,2015,Male
Rabies (A82),0.0,2015,Male
Mosquito-borne viral encephalitis (A83),0.0,2015,Male
Tick-borne viral encephalitis (A84),0.0,2015,Male
"Other viral encephalitis, not elsewhere classified (A85)",1.0,2015,Male
Unspecified viral encephalitis (A86),7.0,2015,Male
Viral meningitis (A87),1.0,2015,Male
"Other viral infections of central nervous system, not elsewhere classified (A88)",0.0,2015,Male
Unspecified viral infection of central nervous system (A89),0.0,2015,Male
Arthropod-borne viral fevers and viral haemorrhagic fevers (A90-A99),0.0,2015,Male
Dengue fever [classical dengue] (A90),0.0,2015,Male
Dengue haemorrhagic fever (A91),0.0,2015,Male
Other mosquito-borne viral fevers (A92),0.0,2015,Male
"Other arthropod-borne viral fevers, not elsewhere classified (A93)",0.0,2015,Male
Unspecified arthropod-borne viral fever (A94),0.0,2015,Male
Yellow fever (A95),0.0,2015,Male
Arenaviral haemorrhagic fever (A96),0.0,2015,Male
Dengue (A97),0.0,2015,Male
"Other viral haemorrhagic fevers, not elsewhere classified (A98)",0.0,2015,Male
Unspecified viral haemorrhagic fever (A99),0.0,2015,Male
Viral infections characterized by skin and mucous membrane lesions (B00-B09),65.0,2015,Male
