Cause,Deaths,Year,Gender
Intestinal infectious diseases  (A00-A09),103.0,2015,Males
Cholera (A00),0.0,2015,Males
Typhoid and paratyphoid fevers (A01),0.0,2015,Males
Other salmonella infections (A02),12.0,2015,Males
Shigellosis (A03),0.0,2015,Males
Other bacterial intestinal infections (A04),23.0,2015,Males
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",0.0,2015,Males
Amoebiasis (A06),1.0,2015,Males
Other protozoal intestinal diseases (A07),0.0,2015,Males
Viral and other specified intestinal infections (A08),2.0,2015,Males
Other gastroenteritis and colitis of infectious and unspecified origin (A09),65.0,2015,Males
Tuberculosis  (A15-A19),26.0,2015,Males
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",0.0,2015,Males
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",17.0,2015,Males
Tuberculosis of nervous system (A17),0.0,2015,Males
Tuberculosis of other organs (A18),2.0,2015,Males
Miliary tuberculosis (A19),7.0,2015,Males
Certain zoonotic bacterial diseases  (A20-A28),2.0,2015,Males
Plague (A20),0.0,2015,Males
Tularaemia (A21),0.0,2015,Males
Anthrax (A22),0.0,2015,Males
Brucellosis (A23),0.0,2015,Males
Glanders and melioidosis (A24),1.0,2015,Males
Rat-bite fevers (A25),0.0,2015,Males
Erysipeloid (A26),0.0,2015,Males
Leptospirosis (A27),1.0,2015,Males
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",0.0,2015,Males
Other bacterial diseases  (A30-A49),935.0,2015,Males
Leprosy [Hansen's disease] (A30),0.0,2015,Males
Infection due to other mycobacteria (A31),4.0,2015,Males
Listeriosis (A32),2.0,2015,Males
Tetanus neonatorum (A33),0.0,2015,Males
Obstetrical tetanus (A34),0.0,2015,Males
Other tetanus (A35),0.0,2015,Males
Diphtheria (A36),0.0,2015,Males
Whooping cough (A37),2.0,2015,Males
Scarlet fever (A38),0.0,2015,Males
Meningococcal infection (A39),3.0,2015,Males
Streptococcal sepsis (A40),18.0,2015,Males
Other sepsis (A41),839.0,2015,Males
Actinomycosis (A42),0.0,2015,Males
Nocardiosis (A43),1.0,2015,Males
Bartonellosis (A44),0.0,2015,Males
Erysipelas (A46),1.0,2015,Males
"Other bacterial diseases, not elsewhere classified (A48)",3.0,2015,Males
Bacterial infection of unspecified site (A49),62.0,2015,Males
Infections with a predominantly sexual mode of transmission  (A50-A64),1.0,2015,Males
Congenital syphilis (A50),0.0,2015,Males
Early syphilis (A51),0.0,2015,Males
Late syphilis (A52),0.0,2015,Males
Other and unspecified syphilis (A53),0.0,2015,Males
Gonococcal infection (A54),0.0,2015,Males
Chlamydial lymphogranuloma (venereum) (A55),0.0,2015,Males
Other sexually transmitted chlamydial diseases (A56),1.0,2015,Males
Chancroid (A57),0.0,2015,Males
Granuloma inguinale (A58),0.0,2015,Males
Trichomoniasis (A59),0.0,2015,Males
Anogenital herpesviral [herpes simplex] infection (A60),0.0,2015,Males
"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",0.0,2015,Males
Unspecified sexually transmitted disease (A64),0.0,2015,Males
Other spirochaetal diseases  (A65-A69),0.0,2015,Males
Nonvenereal syphilis (A65),0.0,2015,Males
Yaws (A66),0.0,2015,Males
Pinta [carate] (A67),0.0,2015,Males
Relapsing fevers (A68),0.0,2015,Males
Other spirochaetal infections (A69),0.0,2015,Males
Other diseases caused by chlamydiae  (A70-A74),1.0,2015,Males
Chlamydia psittaci infection (A70),1.0,2015,Males
Trachoma (A71),0.0,2015,Males
Other diseases caused by chlamydiae (A74),0.0,2015,Males
Rickettsioses  (A75-A79),1.0,2015,Males
Typhus fever (A75),0.0,2015,Males
Spotted fever [tick-borne rickettsioses] (A77),0.0,2015,Males
Q fever (A78),1.0,2015,Males
Other rickettsioses (A79),0.0,2015,Males
Viral infections of the central nervous system  (A80-A89),34.0,2015,Males
Acute poliomyelitis (A80),0.0,2015,Males
Slow virus infections of central nervous system (A81),29.0,2015,Males
Rabies (A82),0.0,2015,Males
Mosquito-borne viral encephalitis (A83),0.0,2015,Males
Tick-borne viral encephalitis (A84),0.0,2015,Males
"Other viral encephalitis, not elsewhere classified (A85)",1.0,2015,Males
Unspecified viral encephalitis (A86),4.0,2015,Males
Viral meningitis (A87),0.0,2015,Males
"Other viral infections of central nervous system, not elsewhere classified (A88)",0.0,2015,Males
Unspecified viral infection of central nervous system (A89),0.0,2015,Males
Arthropod-borne viral fevers and viral haemorrhagic fevers (A90-A99),0.0,2015,Males
Dengue fever [classical dengue] (A90),0.0,2015,Males
Dengue haemorrhagic fever (A91),0.0,2015,Males
Other mosquito-borne viral fevers (A92),0.0,2015,Males
"Other arthropod-borne viral fevers, not elsewhere classified (A93)",0.0,2015,Males
Unspecified arthropod-borne viral fever (A94),0.0,2015,Males
Yellow fever (A95),0.0,2015,Males
Arenaviral haemorrhagic fever (A96),0.0,2015,Males
Dengue (A97),0.0,2015,Males
"Other viral haemorrhagic fevers, not elsewhere classified (A98)",0.0,2015,Males
Unspecified viral haemorrhagic fever (A99),0.0,2015,Males
Viral infections characterized by skin and mucous membrane lesions (B00-B09),26.0,2015,Males
Herpesviral [herpes simplex] infections (B00),9.0,2015,Males
Varicella [chickenpox] (B01),2.0,2015,Males
Zoster [herpes zoster] (B02),14.0,2015,Males
Smallpox (B03),0.0,2015,Males
Monkeypox (B04),0.0,2015,Males
Measles (B05),0.0,2015,Males
Rubella [German measles] (B06),1.0,2015,Males
Viral warts (B07),0.0,2015,Males
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",0.0,2015,Males
Unspecified viral infection characterized by skin and mucous membrane lesions (B09),0.0,2015,Males
Viral hepatitis  (B15-B19),198.0,2015,Males
Acute hepatitis A (B15),3.0,2015,Males
Acute hepatitis B (B16),18.0,2015,Males
Other acute viral hepatitis (B17),4.0,2015,Males
Chronic viral hepatitis (B18),171.0,2015,Males
Unspecified viral hepatitis (B19),2.0,2015,Males
Human immunodeficiency virus [HIV] disease  (B20-B24),40.0,2015,Males
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),13.0,2015,Males
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),8.0,2015,Males
Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),4.0,2015,Males
Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),5.0,2015,Males
Unspecified human immunodeficiency virus [HIV] disease (B24),10.0,2015,Males
Other viral diseases  (B25-B34),17.0,2015,Males
Cytomegaloviral disease (B25),3.0,2015,Males
Mumps (B26),1.0,2015,Males
Infectious mononucleosis (B27),0.0,2015,Males
Viral conjunctivitis (B30),0.0,2015,Males
"Other viral diseases, not elsewhere classified (B33)",1.0,2015,Males
Viral infection of unspecified site (B34),12.0,2015,Males
Mycoses  (B35-B49),20.0,2015,Males
Dermatophytosis (B35),0.0,2015,Males
Other superficial mycoses (B36),0.0,2015,Males
Candidiasis (B37),3.0,2015,Males
Coccidioidomycosis (B38),0.0,2015,Males
Histoplasmosis (B39),0.0,2015,Males
Blastomycosis (B40),0.0,2015,Males
Paracoccidioidomycosis (B41),0.0,2015,Males
Sporotrichosis (B42),0.0,2015,Males
Chromomycosis and phaeomycotic abscess (B43),0.0,2015,Males
Aspergillosis (B44),8.0,2015,Males
Cryptococcosis (B45),7.0,2015,Males
Zygomycosis (B46),0.0,2015,Males
Mycetoma (B47),0.0,2015,Males
"Other mycoses, not elsewhere classified (B48)",0.0,2015,Males
Unspecified mycosis (B49),2.0,2015,Males
Protozoal diseases  (B50-B64),6.0,2015,Males
Plasmodium falciparum malaria (B50),0.0,2015,Males
Plasmodium vivax malaria (B51),0.0,2015,Males
Plasmodium malariae malaria (B52),0.0,2015,Males
Other parasitologically confirmed malaria (B53),0.0,2015,Males
Unspecified malaria (B54),0.0,2015,Males
Leishmaniasis (B55),0.0,2015,Males
African trypanosomiasis (B56),0.0,2015,Males
Chagas' disease (B57),0.0,2015,Males
Toxoplasmosis (B58),0.0,2015,Males
Pneumocystosis (B59),6.0,2015,Males
"Other protozoal diseases, not elsewhere classified (B60)",0.0,2015,Males
Unspecified protozoal disease (B64),0.0,2015,Males
Helminthiases  (B65-B83),0.0,2015,Males
Schistosomiasis [bilharziasis] (B65),0.0,2015,Males
Other fluke infections (B66),0.0,2015,Males
Echinococcosis (B67),0.0,2015,Males
Taeniasis (B68),0.0,2015,Males
Cysticercosis (B69),0.0,2015,Males
Diphyllobothriasis and sparganosis (B70),0.0,2015,Males
Other cestode infections (B71),0.0,2015,Males
Dracunculiasis (B72),0.0,2015,Males
Onchocerciasis (B73),0.0,2015,Males
Filariasis (B74),0.0,2015,Males
Trichinellosis (B75),0.0,2015,Males
Hookworm diseases (B76),0.0,2015,Males
Ascariasis (B77),0.0,2015,Males
Strongyloidiasis (B78),0.0,2015,Males
Trichuriasis (B79),0.0,2015,Males
Enterobiasis (B80),0.0,2015,Males
"Other intestinal helminthiases, not elsewhere classified (B81)",0.0,2015,Males
Unspecified intestinal parasitism (B82),0.0,2015,Males
Other helminthiases (B83),0.0,2015,Males
"Pediculosis, acariasis and other infestations  (B85-B89)",0.0,2015,Males
Pediculosis and phthiriasis (B85),0.0,2015,Males
Scabies (B86),0.0,2015,Males
Myiasis (B87),0.0,2015,Males
Other infestations (B88),0.0,2015,Males
Unspecified parasitic disease (B89),0.0,2015,Males
