Cause,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons,2018_Males,2018_Females,2018_Persons,2019_Males,2019_Females,2019_Persons,2020_Males,2020_Females,2020_Persons,2021_Males,2021_Females,2021_Persons,2022_Males,2022_Females,2022_Persons,2023_Males,2023_Females,2023_Persons,2024_Males,2024_Females,2024_Persons
Intestinal infectious diseases  (A00-A09),103.0,192.0,295.0,115.0,164.0,279.0,126.0,198.0,324.0,106.0,168.0,274.0,114.0,215.0,329.0,103.0,139.0,242.0,124.0,200.0,324.0,154.0,217.0,371.0,161.0,241.0,402.0,158.0,256.0,414.0
Cholera (A00),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Typhoid and paratyphoid fevers (A01),0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other salmonella infections (A02),12.0,5.0,17.0,5.0,1.0,6.0,0.0,6.0,6.0,11.0,4.0,15.0,4.0,7.0,11.0,5.0,0.0,5.0,4.0,3.0,7.0,3.0,5.0,8.0,5.0,4.0,9.0,6.0,1.0,7.0
Shigellosis (A03),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Other bacterial intestinal infections (A04),23.0,39.0,62.0,29.0,41.0,70.0,26.0,39.0,65.0,30.0,31.0,61.0,34.0,51.0,85.0,30.0,39.0,69.0,45.0,67.0,112.0,57.0,66.0,123.0,36.0,55.0,91.0,38.0,57.0,95.0
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Amoebiasis (A06),1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Other protozoal intestinal diseases (A07),0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Viral and other specified intestinal infections (A08),2.0,15.0,17.0,8.0,8.0,16.0,16.0,15.0,31.0,4.0,11.0,15.0,5.0,11.0,16.0,1.0,3.0,4.0,6.0,2.0,8.0,3.0,10.0,13.0,18.0,20.0,38.0,12.0,16.0,28.0
Other gastroenteritis and colitis of infectious and unspecified origin (A09),65.0,132.0,197.0,72.0,113.0,185.0,84.0,138.0,222.0,61.0,122.0,183.0,70.0,145.0,215.0,67.0,96.0,163.0,68.0,128.0,196.0,90.0,136.0,226.0,100.0,160.0,260.0,102.0,181.0,283.0
Tuberculosis  (A15-A19),26.0,22.0,48.0,21.0,25.0,46.0,21.0,26.0,47.0,30.0,19.0,49.0,26.0,13.0,39.0,22.0,10.0,32.0,27.0,14.0,41.0,25.0,11.0,36.0,19.0,14.0,33.0,34.0,13.0,47.0
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",17.0,18.0,35.0,17.0,21.0,38.0,15.0,18.0,33.0,26.0,14.0,40.0,23.0,13.0,36.0,17.0,8.0,25.0,24.0,12.0,36.0,20.0,7.0,27.0,16.0,7.0,23.0,28.0,10.0,38.0
Tuberculosis of nervous system (A17),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0
Tuberculosis of other organs (A18),2.0,4.0,6.0,2.0,4.0,6.0,3.0,4.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0
Miliary tuberculosis (A19),7.0,0.0,7.0,2.0,0.0,2.0,2.0,1.0,3.0,3.0,2.0,5.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,2.0,5.0,3.0,3.0,6.0,1.0,3.0,4.0,3.0,2.0,5.0
Certain zoonotic bacterial diseases  (A20-A28),2.0,1.0,3.0,2.0,2.0,4.0,5.0,2.0,7.0,3.0,2.0,5.0,6.0,2.0,8.0,3.0,3.0,6.0,5.0,1.0,6.0,6.0,6.0,12.0,6.0,4.0,10.0,6.0,4.0,10.0
Plague (A20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tularaemia (A21),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthrax (A22),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brucellosis (A23),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glanders and melioidosis (A24),1.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,7.0,3.0,2.0,5.0,4.0,2.0,6.0,2.0,2.0,4.0,3.0,1.0,4.0,5.0,5.0,10.0,4.0,2.0,6.0,5.0,4.0,9.0
Rat-bite fevers (A25),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erysipeloid (A26),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leptospirosis (A27),1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0
Other bacterial diseases  (A30-A49),935.0,933.0,1868.0,881.0,944.0,1825.0,797.0,846.0,1643.0,756.0,826.0,1582.0,730.0,905.0,1635.0,759.0,789.0,1548.0,801.0,870.0,1671.0,949.0,953.0,1902.0,901.0,1047.0,1948.0,980.0,1022.0,2002.0
Leprosy [Hansen's disease] (A30),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infection due to other mycobacteria (A31),4.0,8.0,12.0,11.0,6.0,17.0,7.0,7.0,14.0,8.0,7.0,15.0,7.0,6.0,13.0,7.0,5.0,12.0,9.0,9.0,18.0,15.0,6.0,21.0,15.0,12.0,27.0,12.0,12.0,24.0
Listeriosis (A32),2.0,0.0,2.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,6.0,1.0,2.0,3.0
Tetanus neonatorum (A33),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obstetrical tetanus (A34),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other tetanus (A35),0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
Diphtheria (A36),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whooping cough (A37),2.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0
Scarlet fever (A38),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meningococcal infection (A39),3.0,8.0,11.0,7.0,7.0,14.0,15.0,11.0,26.0,7.0,7.0,14.0,2.0,8.0,10.0,2.0,3.0,5.0,4.0,0.0,4.0,5.0,2.0,7.0,5.0,5.0,10.0,2.0,4.0,6.0
Streptococcal sepsis (A40),18.0,20.0,38.0,18.0,20.0,38.0,29.0,17.0,46.0,16.0,11.0,27.0,18.0,17.0,35.0,11.0,13.0,24.0,14.0,24.0,38.0,28.0,18.0,46.0,32.0,32.0,64.0,30.0,16.0,46.0
Other sepsis (A41),839.0,842.0,1681.0,776.0,845.0,1621.0,659.0,751.0,1410.0,655.0,742.0,1397.0,602.0,806.0,1408.0,621.0,681.0,1302.0,641.0,745.0,1386.0,750.0,814.0,1564.0,709.0,891.0,1600.0,747.0,871.0,1618.0
