Cause,Age_Group,Year,Deaths
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,2015,542.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,2015,224.0
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,2015,89.0
"Land transport accidents (V01-V89, Y85)",1–14 years,2015,54.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,2015,35.0
Malignant neoplasm of brain (C71),1–14 years,2015,28.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,2015,398.0
"Land transport accidents (V01-V89, Y85)",15–24 years,2015,235.0
Accidental poisoning (X40-X49),15–24 years,2015,49.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,2015,546.0
Accidental poisoning (X40-X49),25–34 years,2015,241.0
"Land transport accidents (V01-V89, Y85)",25–34 years,2015,239.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2015,609.0
Accidental poisoning (X40-X49),35–44 years,2015,436.0
Ischaemic heart diseases (I20-I25),35–44 years,2015,234.0
Ischaemic heart diseases (I20-I25),45–54 years,2015,771.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2015,666.0
Accidental poisoning (X40-X49),45–54 years,2015,326.0
Ischaemic heart diseases (I20-I25),55–64 years,2015,1481.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2015,1449.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2015,523.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2015,2615.0
Ischaemic heart diseases (I20-I25),65–74 years,2015,2642.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2015,1632.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2015,3097.0
Ischaemic heart diseases (I20-I25),75–84 years,2015,4795.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2015,2637.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2015,7122.0
Ischaemic heart diseases (I20-I25),85–94 years,2015,8095.0
Cerebrovascular diseases (I60-I69),85–94 years,2015,5171.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2015,1737.0
Ischaemic heart diseases (I20-I25),95 years and over,2015,1852.0
Cerebrovascular diseases (I60-I69),95 years and over,2015,1130.0
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,2016,547.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,2016,224.0
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,2016,80.0
"Land transport accidents (V01-V89, Y85)",1–14 years,2016,45.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,2016,39.0
Malignant neoplasm of brain (C71),1–14 years,2016,39.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,2016,410.0
"Land transport accidents (V01-V89, Y85)",15–24 years,2016,266.0
Accidental poisoning (X40-X49),15–24 years,2016,74.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,2016,584.0
Accidental poisoning (X40-X49),25–34 years,2016,264.0
"Land transport accidents (V01-V89, Y85)",25–34 years,2016,240.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2016,552.0
Accidental poisoning (X40-X49),35–44 years,2016,472.0
Ischaemic heart diseases (I20-I25),35–44 years,2016,227.0
Ischaemic heart diseases (I20-I25),45–54 years,2016,694.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2016,523.0
Accidental poisoning (X40-X49),45–54 years,2016,384.0
Ischaemic heart diseases (I20-I25),55–64 years,2016,1494.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2016,1412.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2016,567.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2016,2609.0
Ischaemic heart diseases (I20-I25),65–74 years,2016,2565.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2016,1605.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2016,3278.0
Ischaemic heart diseases (I20-I25),75–84 years,2016,4623.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2016,2620.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2016,7456.0
Ischaemic heart diseases (I20-I25),85–94 years,2016,7804.0
Cerebrovascular diseases (I60-I69),85–94 years,2016,4759.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2016,1912.0
